tipo,nombres,primer_apellido,segundo_apellido,sexo,ci,lugar_nacimiento,color_piel,estado_civil,ciudadano,procedencia_social,especialidad,pais,centro,cargo,facultad,ces,departamento,salario,categoria_docente,fecha_otorgamiento_categoria,direccion,grado_cientifico,fecha_otorgamiento_grado,telefono,solapin,username,email,
Estudiante,Vasco,Boada,Montaña,Masculino,84401413439,Guadalajara,Mestiza,Divorciado/a,Extranjero,Campesina,Freight forwarder,Cuba,Yuste Inc,Energy manager,Maxime,Inc,Eos,3943.86,Titular,2024-03-31,"Callejón Hortensia Mata 78, Lugo, 30481",Doctor,2015-06-25,+5350963152,3dbba3afd21e3d59d0,vascoboada,vascoboada@estudiantes.uci.cu,
Profesor,Ariel,Corral,Riba,Femenino,71046373894,Las Palmas,Negra,Divorciado/a,Cubano,Campesina,"Surveyor, land/geomatics",Cuba,Ariza-Escribano,Fisheries officer,Porro,and Sons,Debitis,5900.93,Auxiliar,2020-01-26,"Via de Cecilia Machado 583 Piso 8 , Murcia, 43019",Licenciado,2017-01-02,+5350050154,1f2de275e6da313e7,arielcorral,arielcorral@uci.cu,
Estudiante,Gregorio,Llamas,Carrasco,Masculino,59669866354,Soria,Blanca,Viudo/a,Cubano,Otra,Sports coach,Cuba,"Luján, Giralt and Heredia",Bookseller,Quas,LLC,Veniam,6136.95,Auxiliar,2020-11-21,"Cañada de Dafne Donoso 90 Puerta 5 , Palencia, 26228",Ninguno,,+5350507817,6275946947dd0f0c75d,gregoriollamas,gregoriollamas@estudiantes.uci.cu,
Estudiante,Gabriel,Cazorla,Valentín,Masculino,92068294753,Melilla,Asiática,Soltero/a,Cubano,Obrera,"Therapist, occupational",Cuba,Torrijos-Sarmiento,Insurance broker,Accusantium,and Sons,Quos,3447.2,Auxiliar,2018-02-05,"Avenida de Juan Antonio Cervantes 663 Piso 6 , Castellón, 53573",Ingeniero,2019-10-01,+5352211392,5a79b46a8bb78eb2d,gabrielcazorla,gabrielcazorla@estudiantes.uci.cu,
Profesor,Ainoa,Tudela,Barriga,Femenino,40170275573,Álava,Blanca,Casado/a,Cubano,Obrera,Equities trader,Cuba,"Morillo, Batlle and Barrios",Location manager,Ut,Group,Deleniti,8864.16,Ninguna,,"Vial de Pepito Mesa 75 Piso 0 , Córdoba, 09166",Doctor,2018-03-28,+5357437582,2d20488ff7d7133061,ainoatudela,ainoatudela@uci.cu,
Profesor,Delia,Alonso,Domingo,Femenino,33886068854,Las Palmas,Blanca,Soltero/a,Cubano,Campesina,"Therapist, sports",Cuba,Sebastián Ltd,Dealer,Sint,PLC,Animi,5922.4,Ninguna,,"Plaza de Eufemia Arce 61 Piso 2 , Ciudad, 26547",Ingeniero,2022-01-01,+5352866608,afd4fc7b3088d56206d,deliaalonso,deliaalonso@uci.cu,
Profesor,Alejo,Sarmiento,Prats,Masculino,25983238529,Huelva,Blanca,Viudo/a,Cubano,Otra,Research scientist (life sciences),Cuba,Almansa LLC,Animal nutritionist,Facere,Ltd,Vero,4389.61,ATD Superior,2025-03-23,"C. de Perlita Iglesia 61, Palencia, 22509",Máster,2016-03-12,+5352516378,6e56627dc8649f78,alejosarmiento,alejosarmiento@uci.cu,
Estudiante,Che,Abella,,Masculino,30565764084,León,Negra,Divorciado/a,Cubano,Obrera,Comptroller,Cuba,Agustí-Tenorio,Furniture designer,Similique,and Sons,Atque,9397.17,Titular,2024-08-29,"Pasadizo Fortunato Barroso 29 Puerta 8 , Valladolid, 44406",Licenciado,2020-02-04,+5353144886,82e7448c03d840fccb,cheabella,cheabella@estudiantes.uci.cu,
Estudiante,Casemiro,Plana,Paniagua,Masculino,83170648410,Santa Cruz de Tenerife,Mestiza,Divorciado/a,Cubano,Obrera,Visual merchandiser,Cuba,Alcázar LLC,Seismic interpreter,Dolore,Ltd,Earum,3130.02,Ninguna,,"Urbanización Concha Herranz 72 Apt. 97 , Valencia, 81327",Ingeniero,2016-06-07,+5356961294,7e15aa2ce2517337a7c,casemiroplana,casemiroplana@estudiantes.uci.cu,
Estudiante,Adelina,Iglesia,Franco,Femenino,64813886218,Las Palmas,Negra,Casado/a,Cubano,Otra,Neurosurgeon,Cuba,"Arenas, Sola and Pacheco","Teacher, adult education",Debitis,PLC,Voluptatum,9318.97,Auxiliar,2020-01-22,"Cuesta de África Vélez 20, Huesca, 13187",Doctor,2016-01-21,+5355491486,ddda17a3df67987d616d,adelinaiglesia,adelinaiglesia@estudiantes.uci.cu,
Estudiante,Telmo,Plaza,Rivero,Masculino,34533617460,La Coruña,Negra,Casado/a,Cubano,Obrera,,,,,,,,5194.35,ATD Superior,2020-06-26,"Pasadizo Emilio Luján 51 Puerta 9 , Granada, 15781",Ingeniero,2021-05-06,+5358163011,eb2083e68e0242af9fc3,telmoplaza,telmoplaza@estudiantes.uci.cu,
Estudiante,Maite,Alcalá,Bueno,Femenino,96202214577,Salamanca,Negra,Divorciado/a,Cubano,Obrera,,,,,,,,7959.85,ATD Superior,2023-09-21,"Avenida de Graciano Girona 92, Ávila, 58714",Doctor,2024-09-14,+5356557315,1775336e80e966e1277,maitealcalá,maitealcalá@estudiantes.uci.cu,
Estudiante,Marc,Plaza,Molins,Masculino,32537173362,Cádiz,Asiática,Soltero/a,Cubano,Obrera,,,,,,,,5559.14,ATD Superior,2018-07-19,"Cuesta de Bruno Borrás 12, Tarragona, 84833",Ingeniero,2022-06-18,+5359996260,a15156041d878f9f,marcplaza,marcplaza@estudiantes.uci.cu,
Estudiante,Florencio,Falcón,Herrero,Masculino,98853865054,Baleares,Asiática,Casado/a,Extranjero,Obrera,,,,,,,,6111.35,Asistente,2019-01-28,"Ronda de Olalla Barrios 3, Alicante, 01399",Ingeniero,2017-05-12,+5354432500,35e8579a7fab7d6467b,florenciofalcón,florenciofalcón@estudiantes.uci.cu,
Estudiante,Prudencio,Barriga,Alsina,Masculino,58172048157,Córdoba,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,5243.99,ATD Superior,2016-07-07,"Acceso de Tristán Escribano 9, Alicante, 63457",Máster,2025-01-07,+5358771718,713b7e052051e01a934,prudenciobarriga,prudenciobarriga@estudiantes.uci.cu,
Estudiante,Nazaret,Díez,Alcalde,Masculino,92219928949,Ourense,Asiática,Soltero/a,Cubano,Obrera,,,,,,,,6598.19,ATD Superior,2023-12-24,"Callejón de Fabio Alberola 61 Puerta 0 , Barcelona, 75945",Doctor,2017-07-30,+5356566831,3d4a5d575b2d650af,nazaretdíez,nazaretdíez@estudiantes.uci.cu,
Estudiante,Dani,Samper,Pinedo,Masculino,80203253763,Alicante,Negra,Soltero/a,Cubano,Obrera,,,,,,,,8264.59,ATD Superior,2022-03-03,"Pasaje Bernardo Jove 97, Navarra, 07547",Licenciado,2016-03-04,+5357051772,03a8987959f550f0fc2b,danisamper,danisamper@estudiantes.uci.cu,
Estudiante,Plinio,Abril,Álvaro,Masculino,15513688001,Baleares,Asiática,Soltero/a,Cubano,Obrera,,,,,,,,9849.05,Asistente,2018-09-14,"Via Alba Puente 1 Piso 7 , Córdoba, 85124",Licenciado,2015-08-23,+5351214875,d8ab0b30146e8ec01b3,plinioabril,plinioabril@estudiantes.uci.cu,
Estudiante,Pilar,Urrutia,Segarra,Femenino,58583960379,Murcia,Mestiza,Soltero/a,Cubano,Obrera,,,,,,,,6227.56,ATD Superior,2018-05-11,"Plaza de Emiliano Corbacho 65 Piso 1 , Vizcaya, 04229",Licenciado,2020-04-02,+5350449724,85e69ea967474ed13553,pilarurrutia,pilarurrutia@estudiantes.uci.cu,
Estudiante,Pánfilo,Belda,Mate,Masculino,40065691388,Badajoz,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,5051.46,Titular,2017-01-06,"Alameda de Edelmiro Tello 8 Piso 0 , Guipúzcoa, 29611",Máster,2016-10-07,+5350999006,eb8f205624384dd6da6,pánfilobelda,pánfilobelda@estudiantes.uci.cu,
Estudiante,Laura,Gaya,Rocha,Femenino,47603971160,Córdoba,Asiática,Soltero/a,Cubano,Obrera,,,,,,,,8447.6,Asistente,2025-04-13,"Acceso Darío Bartolomé 9 Piso 3 , Madrid, 43039",Máster,2017-10-25,+5354563183,7ce71b483736fd1ac7ce,lauragaya,lauragaya@estudiantes.uci.cu,
Estudiante,Candelario,Ramis,Rocha,Masculino,72488983067,Soria,Negra,Divorciado/a,Extranjero,Obrera,,,,,,,,6651.38,ATD Superior,2020-10-23,"Paseo Emilia Gilabert 6 Puerta 5 , Alicante, 49269",Doctor,2020-05-02,+5356034143,03e9ba02c4e21681081,candelarioramis,candelarioramis@estudiantes.uci.cu,
Estudiante,Purificación,Sanabria,Muro,Femenino,25176683347,Segovia,Blanca,Casado/a,Cubano,Obrera,,,,,,,,5421.02,Ninguna,,"Camino Cipriano Villaverde 416 Piso 8 , Lugo, 99300",Ninguno,,+5353110592,c5c142626ff164f9d8,purificaciónsanabriaza,purificaciónsanabria@estudiantes.uci.cu,
Estudiante,Griselda,Plana,Pla,Femenino,21742235832,Ciudad,Negra,Soltero/a,Extranjero,Obrera,,,,,,,,7449.41,ATD Superior,2020-03-17,"Cuesta Silvestre Chico 29, Zaragoza, 60976",Doctor,2023-02-18,+5359129676,1af4787f789921f8c156,griseldaplana,griseldaplana@estudiantes.uci.cu,
Estudiante,Odalis,Olivares,Ferrero,Femenino,14990808869,Salamanca,Negra,Soltero/a,Cubano,Obrera,,,,,,,,6376.58,Asistente,2023-04-11,"Vial de Viviana Ponce 91, Alicante, 75375",Doctor,2016-08-10,+5359321222,17ee0eb0c9e0397e67,odalisolivares,odalisolivares@estudiantes.uci.cu,
Estudiante,Román,Vallés,Zabaleta,Masculino,70523840242,Baleares,Mestiza,Casado/a,Cubano,Obrera,,,,,,,,8523.04,ATD Superior,2017-10-21,"Via Severo Barros 7 Apt. 07 , Soria, 07541",Ingeniero,2021-04-28,+5354762242,d1aa6c5e403d48c93f3,románvallés,románvallés@estudiantes.uci.cu,
Estudiante,Flavia,Bejarano,Clemente,Femenino,89325888609,Sevilla,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,6339.63,Asistente,2017-06-03,"Plaza de Elodia Guerrero 82 Apt. 75 , Barcelona, 35574",Ingeniero,2020-05-14,+5356526731,e5ce0ca67ee4ec985ff,flaviabejarano,flaviabejarano@estudiantes.uci.cu,
Estudiante,Brunilda,Casares,Gisbert,Femenino,70076220050,Ciudad,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,8765.63,Asistente,2018-06-15,"Calle de Rosalinda Catalán 206 Puerta 1 , La Rioja, 86296",Ninguno,,+5355479131,f642c8f34fd9689bba65,brunildacasares,brunildacasares@estudiantes.uci.cu,
Estudiante,Prudencio,Montes,Sainz,Masculino,48120771812,Lugo,Asiática,Soltero/a,Cubano,Obrera,,,,,,,,9534.25,ATD Superior,2016-11-15,"Via de Celestina Correa 36, Las Palmas, 37582",Licenciado,2021-05-16,+5351394368,4c6e6fbb698764657ca,prudenciomontes,prudenciomontes@estudiantes.uci.cu,
Estudiante,Baudelio,Mascaró,Costa,Masculino,96311244605,Ávila,Mestiza,Soltero/a,Cubano,Obrera,,,,,,,,7054.39,Asistente,2023-10-17,"Plaza de Dionisio León 1 Piso 6 , León, 45439",Ingeniero,2016-10-10,+5354918455,eb83af16c00dc0520a4,baudeliomascaró,baudeliomascaró@estudiantes.uci.cu,
Estudiante,Rico,Cárdenas,Bayo,Masculino,39898923111,Ourense,Blanca,Soltero/a,Cubano,Obrera,,,,,,,,9402.99,Asistente,2024-03-23,"Paseo de Sancho Lopez 67, Cáceres, 16697",Máster,2017-09-13,+5352490991,7e22e1b7bb1d792a0,ricocárdenas,ricocárdenas@estudiantes.uci.cu,
Estudiante,Máximo,Barrena,Saldaña,Masculino,18469154596,Almería,Mestiza,Divorciado/a,Cubano,Obrera,,,,,,,,9816.22,ATD Superior,2018-12-30,"C. de Susanita Agustín 711 Apt. 50 , Salamanca, 44329",Doctor,2020-03-23,+5357479129,affe25547196bf52dfd,máximobarrena,máximobarrena@estudiantes.uci.cu,
Estudiante,Irma,Colomer,Salva,Femenino,98497481675,Melilla,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,9519.28,Titular,2020-09-14,"Pasaje Paco Porcel 77, Zamora, 73906",Doctor,2015-11-22,+5353069130,b475e15e3e1f4c2abdaa,irmacolomer,irmacolomer@estudiantes.uci.cu,
Estudiante,Teófila,Vigil,Luís,Femenino,51036888905,Lleida,Negra,Soltero/a,Extranjero,Obrera,,,,,,,,7685.57,ATD Superior,2016-03-30,"Callejón de Julie Tamarit 55 Apt. 00 , Huelva, 40216",Doctor,2019-02-08,+5357794594,15eb3a3d0c891a32e148,teófilavigil,teófilavigil@estudiantes.uci.cu,
Estudiante,Régulo,Montaña,Moraleda,Masculino,62431220089,Córdoba,Blanca,Divorciado/a,Cubano,Obrera,,,,,,,,5928.0,Titular,2015-10-26,"Avenida de Hugo Zamorano 43, Soria, 48647",Ninguno,,+5354282112,0c26e5d9b3bb7ecc040c,régulomontaña,régulomontaña@estudiantes.uci.cu,
Estudiante,Álvaro,Revilla,Uriarte,Masculino,62107424733,Ávila,Mestiza,Casado/a,Cubano,Obrera,,,,,,,,5423.18,ATD Superior,2016-09-17,"Ronda Soledad García 29, Navarra, 02373",Ingeniero,2017-07-03,+5355746606,4bf0ae53fcc9fe6036,álvarorevilla,álvarorevilla@estudiantes.uci.cu,
Estudiante,Reyes,Sala,Vilaplana,Femenino,62726579592,Cuenca,Asiática,Casado/a,Cubano,Obrera,,,,,,,,7724.29,ATD Superior,2019-04-09,"Rambla Luz Ribera 53, Valencia, 01641",Doctor,2024-12-06,+5352221287,3bcd6ae59f4eb98768,reyessala,reyessala@estudiantes.uci.cu,
Estudiante,Florentina,Tenorio,Madrid,Femenino,23974766871,Zaragoza,Blanca,Casado/a,Cubano,Obrera,,,,,,,,6495.76,ATD Superior,2015-08-04,"Vial Sarita Priego 92 Apt. 23 , Ourense, 32365",Máster,2017-07-31,+5353826939,f568c9ca1874a26444,florentinatenorio,florentinatenorio@estudiantes.uci.cu,
Estudiante,Constanza,Cánovas,Uría,Femenino,67591496045,Teruel,Negra,Soltero/a,Cubano,Obrera,,,,,,,,7853.16,ATD Superior,2016-08-31,"Glorieta de Paca Moliner 16, Alicante, 35734",Doctor,2021-03-07,+5352286549,5a79b46a5f58bb78eb2d,constanzacánovas,constanzacánovas@estudiantes.uci.cu,
Estudiante,Ainoa,Tudela,Barriga,Femenino,30170275573,Álava,Asiática,Soltero/a,Extranjero,Obrera,,,,,,,,9345.86,ATD Superior,2019-03-02,"Acceso Gracia Rocamora 83, Burgos, 42566",Licenciado,2015-06-28,+5353621001,2bdb5720498e68afe2b8,ainoatudelndaa,ainoatudela@estudiantes.uci.cu,
Profesor,Elías,Liranza,Pérez,Masculino,"02051661807",Santiago de Cuba,Mestiza,Soltero/a,Cubano,Otra,"Ciberseguridad",Cuba,"FITIB","Director",Dolorem,LLC,Quisquam,9284.13,Asistente,2018-09-26,"Calle de María de los Angeles 10, Santiago de Cuba, 30701",Ingeniero,2021-06-15,+5351122106,64c91950c240850358,eliaselp,pescabella.cuba@gmail.com,

